   1. a                             art.任何一个；某一个；每一；一种；一份
  97. away                          ad.离开；不在；拿开，扔掉；离…远
  98. awful                         a.令人畏惧的，可怕的；威严的；极度的
  99. baby                          n.婴儿，小儿；小动物，幼畜 a.微型的
 100. back                          ad.回来；往后 n.背；后部 v.支持 a.后面的
 101. background                    n.背景；个人的背景资料
 102. bad                           a.坏的；不舒服；严重的；变质的；糟糕的
 103. bag                           n.口袋，包 v.装进口袋，猎获，抓到
 104. ball                          ①n.球；球状物 ②n.舞会
 105. balloon                       n.气球
 106. bamboo                        n.竹子，竹竿
 107. banana                        n.香蕉
 108. bank                          ①n.银行 v.把(钱)存入银行 ②n.埂；河岸
 109. baseball                      n.棒球(运动)；垒球(运动)
 110. basic                         a.基本的，基础的，首要的
 111. basket                        n.篮，筐；一篮，一筐
 112. basketball                    n.篮球；篮球运动
 113. bathroom                      n.浴室，盥洗室
 114. be                            aux.v.是；有；去过(某地)；发生于；做
 115. beach                         n.海滩，湖滩，河滩
 116. bear                          ①v.承担；承受；结果实 ②n.熊；粗鲁的人
 117. beat                          v.打；打败；(心)跳动 n.敲击；跳动；节拍
 118. beautiful                     a.美丽的，漂亮的；极好的，令人愉快的
 119. because                       conj.因为
 120. become                        v.变成，成为，变得；对…合适
 121. bed                           n.床；花圃；(河，湖，海的)底部
 122. bedroom                       n.卧室
 123. bee                           n.蜂，蜜蜂
 124. beef                          n.牛肉
 125. before                        prep.在…前面 conj.在…之前 ad.以前
 126. begin                         v.开始
 127. beginning                     n.开始，开端；开头部分
 128. behaviour                     n.举止，行为
 129. behind                        prep.在…后面；比…晚 ad.在后面；落后
 130. being                         n.存在物；生物，人
 131. believe                       v.相信；认为；信任，信赖
 132. bell                          n.钟，铃；钟声，铃声
 133. below                         prep.在…以下，在…下面 ad.在下面
 134. belt                          n.带，腰带；皮带；地带，区
 135. beside                        prep.在…旁边；和…比较
 136. besides                       prep.除…之外(尚有…) ad.而且，还有
 137. best                          a.最佳的，最好的
 138. better                        a.更好的，较佳的
 139. between                       prep.在两者之间；一起，合作 ad.在中间
 140. beyond                        prep.在…之外；到…以后；超出(能力等)
 141. bicycle                       n.自行车
 142. big                           a.大的；重要的；自大的，说大话的
 143. bill                          n.账单；单子，清单；招贴，广告，传单
 144. bird                          n.鸟，禽
 145. birth                         n.分娩，诞生；出身，血统；起源，开始
 146. birthday                      n.生日
 147. biscuit                       n.饼干
 148. bit                           ①n.一点；一会儿 ②n.(电脑)比特，二进制
 149. bite                          v.咬；(刀等)切入；(鱼)上钩 n.一口；咬伤
 150. bitter                        a.有苦味的；辛酸的；厉害的；严寒的
 151. black                         a.黑的；黑人的；黑暗的 n.黑，黑色；黑人
 152. blackboard                    n.黑板
 153. blind                         a.眼睛失明的，盲人的；盲目的，视而不见的
 154. blood                         n.血，血液；血气，气质；血统，种族，家庭
 155. blow                          ①v.吹；(用口)吹气；炸毁 ②n.一击；灾祸
 156. blue                          a.蓝色的；沮丧的，忧郁的 n.蓝色
 157. board                         n.木板，板；委员会；伙食 v.登上(飞机等)
 158. boat                          n.轮船 v.划船，乘船
 159. body                          n.身体；尸体；团体，机构；主体；物体
 160. book                          n.书；簿；卷，篇；帐本 v.订(票、座位等)
 161. boring                        ①a.单调乏味的，令人厌倦的 ②n.钻孔
 162. born                          a.出身于…的；天生的，生来的
 163. borrow                        v.借用，借
 164. boss                          n.领班，老板，上司 v.指挥，把…差来遣去
 165. both                          a.两者，两人 ad.两，双 conj.即…又…
 166. bottle                        n.瓶子；一瓶 v.把…装入瓶中
 167. bottom                        n.底部，底；尽头，末端；屁股
 168. bowl                          ①n.碗；碗状物；一碗 ②v.玩(保龄球)球
 169. box                           ①n.箱子；一箱 v.装箱 ②v.进行拳击比赛
 170. boy                           n.男孩；儿子；茶房，男仆
 171. brain                         n.脑子；脑力，智能
 172. brave                         a.勇敢的；英勇的 v.不顾，不怕，冒(危险)
 173. bread                         n.面包；生计
 174. break                         v.打破；中途停止；违背 n.间歇；破裂
 175. breakfast                     n.早餐 v.吃早饭
 176. breath                        n.呼吸；空气的轻微流动
 177. breathe                       v.呼吸；吐出；低语
 178. bridge                        n.桥；桥牌 v.填补(鸿沟)；架桥
 179. bright                        a.明亮的；晴朗的；鲜艳的；开朗的；聪明的
 180. bring                         v.拿来，带来；引起
 181. brother                       n.兄弟；同伙；教友
 182. brown                         a.棕色的 n.棕色
 183. brush                         n.刷子；画笔 v.刷，掸，拂；擦过，掠过
 184. build                         v.建筑；建造 n.身材，体型；结构
 185. building                      n.楼房，建筑物
 186. burn                          v.烧毁，烧掉；燃烧，烧着；烫着 n.灼伤
 187. bus                           n.公共汽车
 188. business                      n.商业，生意，营业；商店，商行；职责
 189. busy                          a.繁忙的，忙碌的 v.忙碌，(使)忙
 190. but                           conj.但是，可是 prep.除了，除开 ad.仅仅
 191. butter                        n.黄油 v.涂上黄油
 192. butterfly                     n.蝴蝶
 193. buy                           v.买；换取 n.廉价货，便宜货，合算的买卖
 194. by                            prep.在…旁边；被；通过 ad.在一旁；过去
 195. bye                           int.再见
 196. cabbage                       n.卷心菜
 197. cake                          n.糕，饼
 198. call                          v.叫做；叫；(给某人)打电话 n.叫声，来访
 199. camel                         n.骆驼
 200. camera                        n.照相机，摄影机
 201. camp                          n.营，野营；野营地；阵营 v.宿营
 202. can                           ①aux.v.会；可能；可以 ②n.(AmE)罐头
 203. Canada                        n.加拿大
 204. cancel                        v.取消；删去，省略，划掉
 205. cancer                        n.癌，癌症
 206. candle                        n.蜡烛，烛形物
 207. candy                         n.糖果
 208. cap                           n.便帽，军帽；盖，套 v.覆盖；超过
 209. capital                       n.首都；大写字母；资本 a.首位的；资本的
 210. captain                       n.首领，队长；船长，舰长，机长；上尉
 211. car                           n.小汽车；(一节)客车或货车等
 212. card                          n.纸牌；卡片(明信片，贺年片等)
 213. care                          n.小心；关怀；照管；忧虑 v.关心；关怀
 214. careful                       a.小心的，注意的；细心的，周密细致的
 215. careless                      a.粗心的，疏忽的；漫不经心，不介意的
 216. carrot                        n.胡萝卜
 217. carry                         v.运送，搬运；携带，佩带；支撑；刊登
 218. cartoon                       n.卡通片，漫画
 219. case                          ①n.事例；情况 ②n.箱子；套子 ③n.语法格
 220. cat                           n.猫
 221. catch                         v.抓住；赶上；听清；吸引 n.窗钩；诡计
 222. cause                         v.使产生，引起；使得 n.原因；理由；事业
 223. CD                            光盘(compact disk的缩写)
 224. ceiling                       n.天花板，顶篷；(规定价格等的)最高限度
 225. celebrate                     v.庆祝
 226. cent                          n.分(货币单位)
 227. centre                        n.中心，圆心；集中地点；中间派 v.集中于
 228. century                       n.世纪，百年
 229. certain                       a.某，某一，某种；确凿的，无疑的；一定的
 230. certainly                     ad.一定，必定；(表示同意)当然可以
 231. chair                         n.椅子；(会议的)主席；v.主持(会议)
 232. chairman                      n.主席；议长，会长，委员长；董事长，总裁
 233. chalk                         n.粉笔 v.用粉笔写字
 234. chance                        n.机会；可能性；偶然性，运气
 235. change                        v.改变；换，交换；起变化 n.改变；零钱
 236. charge                        v.要(价) n.费用，价钱；掌管；负荷；指控
 237. cheap                         a.便宜的，价钱低的；低劣的；庸俗可鄙的
 238. cheat                         n.欺诈，骗取；骗子 v.欺诈，骗取
 239. cheer                         v.使振奋；欢呼；为…喝彩 n.振奋；欢呼
 240. cheese                        n.乳酪，干酪
 241. chemistry                     n.化学
 242. cheque                        n.支票
 243. chess                         n.国际象棋
 244. chest                         n.胸膛；箱子，柜子，盒子
 245. chicken                       n.小鸡，鸡，家禽；鸡肉
 246. child                         n.孩子，儿童；产物
 247. childhood                     n.幼年(时代)，童年
 248. China                         n.中国
 249. china                         n.瓷器，陶器
 250. Chinese                       n.中国人；汉语 a.中国的；中国人的
 251. chocolate                     n.巧克力 a.巧克力的；巧克力色的，赭色的
 252. choice                        n.选择；入选者；供选择的种类 a.精选的
 253. choose                        v.选择，挑选；决定，愿意，偏要
 254. chopsticks                    n.筷子
 255. Christmas                     n.圣诞节
 256. church                        n.教堂，礼拜堂；教会，教派；神职；礼拜
 257. cinema                        n.电影院；电影艺术，电影业
 258. circle                        n.圆，圈，环状物；圈子，小组 v.环绕
 259. city                          n.城市
 260. clap                          v.拍，轻拍；拍手 n.霹雳声，破裂声
 261. class                         n.(学校的)班级；等级 v.把…划分为类别
 262. classmate                     n.同学，同班同学
 263. classroom                     n.教室
 264. clean                         a.清洁的，干净的；清白的 v.弄干净，打扫
 265. clear                         a.明确的；清晰的；晴朗的 v.清除；澄清
 266. clever                        a.聪明的，善于学习的；灵巧的，机敏的
 267. climb                         v.攀登，爬上，升 n.攀登，爬(山等)
 268. clock                         n.钟 v.给…记时间
 269. clone                         n.(动植物)无性繁殖系 v.(使某物)无性繁殖
 270. close                         v.关上；结束 a.关闭的；紧密的 ad.靠近
 271. clothes                       n.衣服
 272. cloud                         n.云朵，云；一阵，一大群 v.被(云)遮住
 273. cloudy                        a.多云，有云的
 274. club                          n.俱乐部，夜总会；棍棒，球棒 v.用棍棒打
 275. coach                         n.四轮大马车；客车；教练 v.训练；当教练
 276. coal                          n.煤
 277. coast                         n.海岸，海滨
 278. coat                          n.上衣；一层(油漆等)
 279. coffee                        n.咖啡
 280. coin                          n.硬币
 281. coke                          n.焦炭，焦煤
 282. cold                          a.冷(的)；冷淡的 n.伤风，感冒；寒冷
 283. collect                       v.收集，搜集，采集；聚集；募捐；领取
 284. collection                    n.收藏品，收集物；收集，采集；收款，募捐
 285. college                       n.学院；高等专科学校
 286. colour                        n.颜色，脸色，色彩；<pl>旗帜 v.着色
 287. come                          v.来；到来，到达；发生，开始；变得
 288. comfortable                   a.安慰的；舒适的，轻松自在的
 289. common                        a.普通的；共同的 n.下议院；公用草地
 290. communicate                   v.传达(意见等)；传染(疾病)；(房间)相连
 291. communication                 n.通信，通讯；传达的信息；通讯系统；交通
 292. company                       n.公司，商号；连，连队；陪伴，陪同；同伴
 293. compare                       v.比较，对照；比喻，比作；比得上，相比
 294. compete                       v.比赛；竞争，对抗
 295. competition                   n.比赛；竞争
 296. complete                      a.完整的；完成了的 v.完成；使完整；填写
 297. composition                   n.作文，作品；写作，作曲；构成；构图
 298. computer                      n.计算机，电脑
 299. concert                       n.音乐会，演奏会；一致，协作，和谐
 300. condition                     n.条件；状况；环境 v.使取决于；使适应
 301. conference                    n.讨论，会谈；(正式的)会议，讨论会
 302. connect                       v.连接，连结；把…联系起来，联想
 303. consider                      v.考虑，细想；认为；把…看作；考虑到
 304. continue                      v.继续，接着说
 305. control                       v.控制，抑制 n.控制，支配，调节，抑制
 306. conversation                  n.会谈，闲谈
 307. cook                          v.烹调，煮；窜改(账目等) n.厨子，厨师
 308. cooker                        n.炊事用具(炉、锅等)
 309. cool                          a.凉爽的 n.凉快；冷静 ad.冷静地 v.冷下来
 310. copy                          n.抄本；(书的)一本；复制品 v.抄写；仿制
 311. corner                        n.角落；街道等的拐弯处 v.使…陷入困境
 312. correct                       a.正确的；(行为等)恰当的 v.校阅
 313. cost                          n.成本，价格；代价 v.使花费；付出代价
 314. cotton                        n.棉花；棉纱，棉线
 315. cough                         n.咳嗽
 316. could                         aux.v.can的过去式；表示有可能的事
 317. count                         v.数数，计算；计入，包括
 318. country                       n.国家，祖国；乡间，农村；国民，全国
 319. countryside                   n.乡下，农村
 320. couple                        n.(一)对，(一)双；夫妇，未婚夫妻；几个
 321. courage                       n.勇气，胆量
 322. course                        n.课程；过程；道路，方针，路线 ad.当然
 323. cousin                        n.堂(表)兄弟姐妹
 324. cover                         v.遮盖；掩护；包括 n.盖子；(书的)封面
 325. cow                           ①n.母牛；(指大动物的)母兽 ②v.使害怕
 326. crayon                        n.彩色蜡笔(粉笔)
 327. crazy                         a.疯狂的，古怪的，蠢的；狂热的，热衷的
 328. create                        v.创造，创作；引起，产生，造成
 329. cross                         n.十字形；杂交 v.越过，穿过；交叉，相交
 330. cruel                         a.残忍的，残酷的；令人痛苦的
 331. cry                           v.哭，流泪；发出叫声，叫喊 n.哭泣；叫声
 332. culture                       n.文化，精神文明；教养，陶冶；栽培，养殖
 333. cup                           n.杯子；(一)杯；奖杯 v.使…成杯状
 334. custom                        n.习惯，风俗，惯例
 335. customer                      n.顾客
 336. cut                           v.分割，切开；削减，缩短 n.破口；削减
 337. dad                           n.爸爸，爹爹
 338. daily                         a.每日的，日常的 ad.每日，天天 n.日报
 339. damage                        n.损害，损失；损害赔偿金 v.损伤，破坏
 340. dance                         v.跳舞，舞蹈；跳跃 n.舞蹈，舞曲；跳跃
 341. danger                        n.危险，危险事物；威胁
 342. dangerous                     a.危险的，不安全的
 343. dare                          aux.v.敢，竟敢 v.敢，敢做；激 n.挑战
 344. dark                          a.黑暗的；阴暗的；深色的，黑色的；阴郁的
 345. date                          ①n.日期，时期，约会 v.记下日期 ②n.枣
 346. daughter                      n.女儿
 347. day                           n.天，白天；日光，阳光；时期 a.白昼的
 348. dead                          a.死的；完全的；无生气的 n.死者 a.全然的
 349. deaf                          a.聋的，失聪的；不愿听的
 350. deal                          ①n.数量；大量 ②v.论述；对付 n.交易
 351. dear                          a.亲爱的；宝贵的；忠心的 int.呵，哎呀
 352. death                         n.死，死亡；毁灭，结束
 353. December                      n.十二月
 354. decide                        v.决定，选定；解决，判决；使下决心
 355. decision                      n.决定，抉择，判决；果断，决心
 356. deep                          a.深的，厚的；深色的；强烈的 ad.深深地
 357. degree                        n.度数，等级，程度；学位
 358. delicious                     a.美味的，可口的，芳香的；怡人的
 359. dentist                       n.牙科医生
 360. depend                        v.取决于，视…而定；信赖，确信
 361. describe                      v.叙述，描写，形容；描绘，画，把…说成
 362. design                        n.&v.设计，图样；计划，图谋；构思，方案
 363. desk                          n.书桌，办公桌；服务台，问讯台；部，司
 364. destroy                       v.毁灭，破坏，消灭
 365. develop                       v.使形成；(使)发展；(逐渐)显现；发挥
 366. development                   n.发展；开发；产物；开发的房地产；显影
 367. dialog                        n.对话，交谈；(小说、戏剧中的)对白
 368. diary                         n.日记，日志，日记簿
 369. dictionary                    n.词典，字典，辞书
 370. die                           v.死，结束，灭亡；逐渐消失，停止
 371. diet                          n.日常饮食，食物  v.节食，按规定进食
 372. difference                    n.差异，不同，分歧
 373. different                     a.不同的，有差别的；个别的；各种各样的
 374. difficult                     a.难做的，困难的；难对付的，不易相处的
 375. difficulty                    n.困难，困境，难题；麻烦
 376. dig                           v.挖，掘；触；(仔细)寻找 n.捅；挖；嘲讽
 377. dinner                        n.正餐，宴会
 378. direct                        ①v.监督；指示 ②a.笔直的 ad.直接地
 379. direction                     n.方向，方面；指导，管理；导演，指挥
 380. director                      n.董事，经理；主管，主任，指导者；导演
 381. dirty                         a.肮脏的；污染的；下流的；令人不快的
 382. discover                      v.发现，找到，使被知晓
 383. discovery                     n.发现，发觉，被发现的人(事物)
 384. discuss                       v.讨论，商讨，论述
 385. discussion                    n.谈论，讨论，论述
 386. disease                       n.疾病，弊病，病害 v.使有病，使不健全
 387. dish                          n.碟，盘，盘状物；菜肴 v.把(食物)装盘
 388. dismiss                       v.免…之职，解雇；让…离开，遣散；不理会
 389. distance                      n.距离，远处；进展(程度)；(时间)间隔
 390. disturb                       v.打扰，扰乱，妨碍；使精神不安，使担忧
 391. divide                        v.分割，分切，分隔；除；使分裂，离间
 392. do                            aux.v.&v.做；进展；制作；行；学习；烹调
 393. doctor                        n.医生，大夫；博士 v.医治；修理；窜改
 394. dog                           n.狗，雄兽；家伙 v.跟踪，尾随；困扰
 395. doll                          n.玩偶；喜爱的人 v.把…装扮得漂漂亮亮
 396. dollar                        n.(美国、加拿大等国的货币单位)元
 397. door                          n.门，出入门；家，户，门面；门路，通道
 398. double                        a.成双的；两倍的 ad.两倍地 n.两倍 v.复制
 399. doubt                         v.不能肯定，以为…不太可能；怀疑，不信任
 400. down                          ①ad.&a.向下(的) prep.沿 v.击倒 ②n.羽绒
 401. downstairs                    a.&ad.到楼下，在楼下，楼下的
 402. dozen                         n.一打，十二个；十来个 a.十二个的
 403. draw                          ①v.画；拉；取出；推断出 ②n.和局；抽签
 404. drawer                        n.抽屉
 405. dream                         n.梦；梦想，理想 v.做梦；梦想；想象
 406. dress                         n.连衣裙；服装 v.(给…)穿衣；包扎(伤口)
 407. drink                         n.喝，吸入；酗酒，祝酒 n.饮料；酒，喝酒
 408. drive                         v.驾驶；驱赶；打；猛冲 n.乘车；车行道
 409. driver                        n.驾驶者，监工
 410. drop                          n.滴(剂)；降落 v.滴下；(使)下降；空投
 411. drug                          n.药，麻醉剂，致瘾的毒品 v.给…服药
 412. drum                          n.鼓，鼓状物；敲敲，敲出似鼓的声音
 413. dry                           a.干(燥)的；冷冰冰的；枯燥乏味的 v.使变?
 414. duck                          ①n.鸭(肉)，宝贝 ②v.迅速低下；推脱
 415. dumpling                      n.汤团，饺子
 416. during                        prep.在…的期间
 417. duty                          n.职责，义务，责任(感)；税
 418. DVD                           数码影碟(digital versatile disk)
 419. E-mail                        n.电子信函 vt.给…发电子信函
 420. each                          pron.每个，各自 a.每，各，各自的 ad.每个
 421. ear                           ①n.耳，耳朵；听觉，欣赏能力 ②n.穗
 422. early                         a.早的，初期的；早日的 ad.早，初期
 423. earth                         n.地球；泥土，土壤；大地，地面
 424. east                          a.&ad.在东方(的)；向东方(的) n.东，东方
 425. easy                          a.容易的；舒适的；给人方便的 ad.容易地
 426. eat                           v.吃，喝，进餐；侵蚀，吞噬，耗完
 427. edge                          n.刀口；边，边缘 v.给…加上边；使渐进
 428. education                     n.教育，培养
 429. effect                        n.效果，效力；结果 v.产生，造成；实现
 430. effort                        n.努力，尽力，尝试
 431. egg                           ①n.卵，蛋 ②v.怂恿，煸动
 432. eight                         n.&a.八(的)，八个(的)
 433. eighteen                      n.&a.十八(的)，十八个(的)
 434. eighth                        n.&a.第八个(的)，八分之一(的)
 435. eighty                        n.&a.八十(的)，八十个(的)
 436. either                        prep.&a.(两者之中)任何一个(的) ad.也
 437. elder                         a.(两人中)年龄较大的 n.年龄较大者；长者
 438. electric                      a.电的，导电的，发电的；令人兴奋的
 439. elephant                      n.象
 440. eleven                        n.&a.十一(的)，十一个(的)
 441. else                          ad.&a.另外(的)，其他(的)；否则，要不然
 442. empty                         a.空的，未占用的；空洞的 v.(使)成为空的
 443. encourage                     v.鼓励，激励，怂恿；赞助，支持，促进
 444. end                           n.结尾；目的；结果；残余 v.结束，终止
 445. enemy                         n.敌人，仇人；危害物，大害
 446. energy                        n.活力，精力，能力；能，能量
 447. engineer                      n.工程师，技师
 448. England                       n.英格兰
 449. English                       a.英国的，英格兰的，英语的；英语；英国人
 450. enjoy                         v.欣赏，喜爱，享受…的乐趣；享有，享用
 451. enough                        a.足够的，充分的 ad.足够地 n.足够，充分
 452. enter                         v.进入；加入，参加；登记，把…编入
 453. environment                   n.环境，周围状况
 454. eraser                        n.擦除器，消磁器
 455. especially                    ad.特别，尤其，格外
 456. Europe                        n.欧洲
 457. European                      a.欧洲的，欧洲人的 n.欧洲人
 458. even                          ①ad.甚至…更 ②a.平的；偶数的 v.(使)平
 459. evening                       n.夜晚，黄昏，傍晚；晚会；后期，末期
 460. event                         n.事件，大事；(运动会等的)比赛项目
 461. ever                          ad.(用于否定句等)曾经；始终，总是；究竟
 462. every                         a.每人的，每隔…的，所有的
 463. everybody                     pron.每人，人人
 464. everyday                      a.每天的，日常的，普通的
 465. everyone                      pron.每人，人人
 466. everything                    pron.每件事，事事；最重要的东西
 467. everywhere                    ad.到处，处处
 468. exact                         ①a.确切的；严格的 ②v.强要，强求；急需
 469. examination                   n.考试，检验
 470. examine                       v.检查，细查，审视；对…进行考试
 471. example                       n.例子，例证；模范，榜样
 472. excellent                     a.优秀的，卓越的，杰出的
 473. except                        prep.除…之外 v.把…除外，不计
 474. excite                        v.刺激，使兴奋，使激动；激发，唤起，引起
 475. exciting                      a.令人兴奋的，使人激动的，刺激的
 476. excuse                        v.宽恕，原谅；为…辩解 n.托辞；歉意
 477. exercise                      n.练习，习题；锻炼；运用 v.锻炼；履行
 478. exhibition                    n.展览会，展览(品)；表现，表演，显示
 479. expect                        v.期待，盼望，等待；预期，预料；(料)想
 480. expensive                     a.高价的，昂贵的
 481. experience                    v.经历，体验，遭受 n.经验，体验；经历
 482. experiment                    n.实验，试验 v.进行实验(试验)
 483. explain                       v.解释，说明；为…辩解，说明…的理由
 484. express                       ①v.表达，表示 ②n.快车 a.明白的；快速的
 485. eye                           n.眼睛；眼力，视力；环，(针)眼 v.注视
 486. face                          n.脸；面容；面子；正面 v.朝…；正视
 487. fact                          n.事实，真相，实情；真实性，实际，细节
 488. factory                       n.工厂，制造厂，制造场所
 489. fail                          v.失败；不，不能；缺乏；(健康等)衰退
 490. fair                          ①n.定期集市 ②a.公平的；(天气)晴朗的
 491. fall                          ①n.(AmE)秋季 ②v.落下；下降；变成；降临
 492. family                        n.家庭，家；子女；家族；族，科
 493. famous                        a.著名的，出名的
 494. fan                           ①n.扇子 ②n.(运动等的)狂热爱好者，迷
 495. fantastic                     a.极好的，美妙的；不切实际的，异想天开的
 496. far                           a.遥远的，远方的 ad.远，遥远；很，极
 497. farm                          n.农场，农庄，饲养场 v.务农，耕种
 498. farmer                        n.农夫，农民，畜牧者；农场主，牧场主
 499. fast                          ①a.快的；牢固的 ad.快 ②v.斋戒 n.禁食
 500. fat                           a.肥的；肥胖的；收益多的；厚实的 n.脂肪
 501. father                        n.父亲；神父；<pl>祖先，创始人
 502. favourite                     a.特别喜爱的 n.特别喜爱的人(物)，宠儿
 503. fear                          n.害怕，畏惧；担心，担忧
 504. February                      n.二月
 505. feed                          v.喂(养)，饲(养)；供应，提供；维持；投入
 506. feel                          v.感到；触，摸；给人某种感觉 n.感觉；触
 507. feeling                       n.触觉；同情；触；<pl>感情 a.有同情心的
 508. festival                      n.节日，喜庆日，纪念活动日 a.节日的
 509. fetch                         v.取来，拿来；售得，卖得
 510. fever                         n.发热，发烧，热度；狂热，激动，兴奋
 511. few                           a.&pron.(表示否定)很少(的)，几乎没有(的)
 512. field                         n.田野，田地；领域，范围；实地；<pl>旷野
 513. fifteen                       n.&a.十五(的)，十五个(的)
 514. fifth                         n.&a.第五个(的)，五分之一(的)
 515. fifty                         n.&a.五十(的)，五十个(的)
 516. fight                         v.打仗，打架；与…进行斗争 n.战斗；斗志
 517. fill                          v.装满，注满；补上，填补 n.充分，足够
 518. film                          n.电影；胶卷；薄膜 v.拍摄；在…上盖薄膜
 519. final                         a.最后的，最终的 n.期终考试；决赛
 520. find                          v.找到，发现；觉得；努力获得 n.发现
 521. fine                          ①a.美好的；微细的 ad.很好 ②v.&n.罚款
 522. finger                        n.手指，手指形东西 v.用手指触摸，拔弄
 523. finish                        v.结束；使完美；耗尽 n.最后部分；完美
 524. fire                          n.火；火灾；射击；热情 v.发射；烘制
 525. first                         a.第一的；主要的；基本的 ad.首先 n.第一
 526. fish                          n.鱼，鱼类，鱼肉 v.捕鱼，钓鱼；间接探求
 527. fisherman                     n.捕鱼人，渔船
 528. fit                           ①v.使适合；安装 a.适合的 ②n.(病的)发作
 529. five                          n.&a.五个(的)，五(的)
 530. fix                           v.使固定，装置；盯住，凝视；确实；修理
 531. flag                          ①n.旗，旗帜 ②v.变弱，衰退
